Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5753197542	17.8075923920	-0.5212250948
0.5753776116	17.5597877502	-0.5004121065
0.5754354822	17.3479137421	-0.4821801782
0.5754933449	16.7524642944	-0.4287034273
0.5755512487	16.6922168732	-0.4231031239
0.5756091179	16.3701343536	-0.3925521672
0.5756669564	16.1686153412	-0.3729024231
0.5757248455	15.6174201965	-0.3169715106
0.5757826995	15.1952943802	-0.2718827128
0.5758405930	15.1189155579	-0.2635076642
0.5758984398	15.2338075638	-0.2760802209
0.5759563205	15.1123514175	-0.2627847791
0.5760141822	14.8396739960	-0.2323073000
0.5760720741	14.1713151932	-0.1537875086
0.5761299305	13.9829244614	-0.1306359768
0.5761877934	13.7348575592	-0.0994401649
0.5762456597	13.6958599091	-0.0944612548
0.5763035432	13.4763250351	-0.0660474002
0.5763614006	13.3372526169	-0.0477038957
0.5764192909	12.9698181152	0.0020756461
0.5764771630	12.5882863998	0.0558490492
0.5765350293	12.5642671585	0.0593073964
0.5765929084	12.4237537384	0.0797151178
0.5766507506	12.3866815567	0.0851499885
0.5767086246	12.1173229218	0.1252837628
0.5767665373	11.6739597321	0.1938793063
0.5768243759	11.5183811188	0.2187208533
0.5768822520	10.9512767792	0.3128039241
0.5769401066	10.9855070114	0.3069640994
0.5769979910	10.6867589951	0.3586511016
0.5770558735	10.7155866623	0.3535921276
0.5771137475	10.3678846359	0.4156478941
0.5771715989	10.3636808395	0.4164122641
0.5772294738	10.0320463181	0.4777875841
0.5772873485	9.8285045624	0.5165344477
0.5773452251	9.7303009033	0.5355287194
0.5774030976	9.5875539780	0.5634917617
0.5774609559	9.4123115540	0.5984013081
0.5775188223	9.1858863831	0.6444737315
0.5775766906	9.2623472214	0.6287922859
0.5776345669	9.0856723785	0.6652189493
0.5776924282	8.8251466751	0.7201884985
0.5777503134	8.6476325989	0.7585180402
0.5778081574	8.5622844696	0.7772039771
0.5778660536	8.3350133896	0.8277910352
0.5779239031	8.2470245361	0.8477039933
0.5779817770	7.9255547523	0.9220491052
0.5780396547	7.7579407692	0.9618245959
0.5780975238	7.6857638359	0.9791703820
0.5781553797	7.5559811592	1.0106946230
0.5782132632	7.4911723137	1.0265990496
0.5782711402	7.3304085732	1.0665240288
0.5783290034	7.2368392944	1.0900753736
0.5783868656	7.0655608177	1.1337931156
0.5784447343	6.9353466034	1.1675623655
0.5785026058	6.8282146454	1.1956955194
0.5785604868	6.6695570946	1.2379482985
0.5786183479	6.5138826370	1.2800999880
0.5786762376	6.4010376930	1.3110905886
0.5787340828	6.3049325943	1.3377765417
0.5787919750	6.3230233192	1.3327325583
0.5788498235	6.2649278641	1.3489649296
0.5789077146	6.1453070641	1.3827030659
0.5789655863	6.0154571533	1.4198116064
0.5790234733	5.9045972824	1.4518980980
0.5790813361	5.7686200142	1.4917703867
0.5791391911	5.7914285660	1.4850422144
0.5791970608	5.6576051712	1.5247499943
0.5792549412	5.5184803009	1.5666296482
0.5793127991	5.3872427940	1.6067025661
0.5793706584	5.3724622726	1.6112506390
0.5794285425	5.2830305099	1.6389211416
0.5794864151	5.2602114677	1.6460233927
0.5795442986	5.0756697655	1.7040932178
0.5796021503	5.0325636864	1.7178211212
0.5796600249	5.0580010414	1.7097125053
0.5797178846	5.0255446434	1.7200622559
0.5797757627	4.9409742355	1.7471975088
0.5798336509	4.7569289207	1.8070939779
0.5798915005	4.6470794678	1.8434021473
0.5799493810	4.6959123611	1.8272095919
0.5800072311	4.7019071579	1.8252273798
0.5800651220	4.5864868164	1.8636103868
0.5801230007	4.3909025192	1.9297288656
0.5801808533	4.3079600334	1.9581828117
0.5802387550	4.2505226135	1.9780334234
0.5802965966	4.2318706512	1.9845056534
0.5803544832	4.3498144150	1.9437931776
0.5804123375	4.1893978119	1.9992910624
0.5804702133	4.0406165123	2.0516102314
0.5805280663	3.9721882343	2.0759503841
0.5805859619	3.9133882523	2.0970065594
0.5806438167	3.9140427113	2.0967714787
0.5807016886	3.8740839958	2.1111543179
0.5807595691	3.8339128494	2.1256749630
0.5808174215	3.7664859295	2.1501865387
0.5808752968	3.6797957420	2.1819581985
0.5809331587	3.6897897720	2.1782805920
0.5809910419	3.5785539150	2.2194328308
0.5810488950	3.5600440502	2.2263276577
0.5811067692	3.5600140095	2.2263388634
0.5811646554	3.5284619331	2.2381229401
0.5812225102	3.3722674847	2.2970399857
0.5812804085	3.3444302082	2.3076426983
0.5813382636	3.3955385685	2.2882003784
0.5813961339	3.2892851830	2.3287384510
0.5814539959	3.2167761326	2.3566644192
0.5815118597	3.2170624733	2.3565537930
0.5815697270	3.1670265198	2.3759489059
0.5816276107	3.1367816925	2.3877222538
0.5816854956	3.0918343067	2.4052884579
0.5817433379	3.0499205589	2.4217443466
0.5818012249	3.0019750595	2.4406578541
0.5818590887	2.9687366486	2.4538259506
0.5819169569	2.9304792881	2.4690396786
0.5819748403	2.9218666553	2.4724731445
0.5820327234	2.9082989693	2.4778883457
0.5820905752	2.8047959805	2.5194547176
0.5821484485	2.8360168934	2.5068686008
0.5822063011	2.7779538631	2.5303087234
0.5822641978	2.7677812576	2.5344302654
0.5823220492	2.8017053604	2.5207028389
0.5823799336	2.6775920391	2.5711650848
0.5824377990	2.6688983440	2.5747246742
0.5824956636	2.6886534691	2.5666408539
0.5825535372	2.6310169697	2.5902729034
0.5826114097	2.5886366367	2.6077415943
0.5826692722	2.5240700245	2.6345057487
0.5827271560	2.5022501945	2.6435918808
0.5827850335	2.5367786884	2.6292233467
0.5828428946	2.5719802380	2.6146285534
0.5829007729	2.5261006355	2.6336612701
0.5829586274	2.4761078358	2.6545054913
0.5830165297	2.5007331371	2.6442244053
0.5830743729	2.4344217777	2.6719706059
0.5831322308	2.4287753105	2.6743421555
0.5831901074	2.4246604443	2.6760714054
0.5832479834	2.3498744965	2.7076299191
0.5833058537	2.3674163818	2.7002050877
0.5833637145	2.3388645649	2.7122969627
0.5834215966	2.3218176365	2.7195339203
0.5834794733	2.3461315632	2.7092158794
0.5835373244	2.3091382980	2.7249250412
0.5835951962	2.2857768536	2.7348771095
0.5836530725	2.2561304569	2.7475419044
0.5837109447	2.2360162735	2.7561571598
0.5837688166	2.2014117241	2.7710218430
0.5838266901	2.1982438564	2.7723853588
0.5838845545	2.2366840839	2.7558708191
0.5839424251	2.1719210148	2.7837326527
0.5840002950	2.1937260628	2.7743306160
0.5840581512	2.1917529106	2.7751805782
0.5841160288	2.1429255009	2.7962687016
0.5841738989	2.1309316158	2.8014655113
0.5842317718	2.1780569553	2.7810847759
0.5842896509	2.1971185207	2.7728698254
0.5843475165	2.1540346146	2.7914612293
0.5844053748	2.1785907745	2.7808544636
0.5844632760	2.1635999680	2.7873263359
0.5845211346	2.1190080643	2.8066382408
0.5845789925	2.1499326229	2.7932357788
0.5846368847	2.1056690216	2.8124327660
0.5846947364	2.0820581913	2.8227095604
0.5847526273	2.0611677170	2.8318235874
0.5848104663	2.0202887058	2.8497164249
0.5848683357	2.0166265965	2.8513231277
0.5849262166	2.0011904240	2.8581023216
0.5849840758	1.9844243526	2.8654780388
0.5850419473	2.0294082165	2.8457181454
0.5850998189	2.0166792870	2.8513000011
0.5851576874	1.9841823578	2.8655846119
0.5852155763	1.9981206656	2.8594517708
0.5852734463	2.0153329372	2.8518908024
0.5853313093	1.9945408106	2.8610260487
0.5853891718	1.9746410847	2.8697879314
0.5854470648	1.9671896696	2.8730735779
0.5855049294	2.0048346519	2.8565008640
0.5855627960	1.9545191526	2.8786664009
0.5856206653	2.0132248402	2.8528161049
0.5856785372	1.9618742466	2.8754189014
0.5857364226	1.9702628851	2.8717181683
0.5857942911	1.9729102850	2.8705508709
0.5858521301	1.9137989283	2.8966913223
0.5859100177	1.9444718361	2.8831067085
0.5859678930	1.9400206804	2.8850753307
0.5860257576	1.9305249453	2.8892781734
0.5860836333	1.9191126823	2.8943347931
0.5861415025	1.9468785524	2.8820426464
0.5861993862	1.9833680391	2.8659431934
0.5862572375	1.9740806818	2.8700349331
0.5863150937	1.9818298817	2.8666205406
0.5863729661	1.9926388264	2.8618626595
0.5864308441	1.9988516569	2.8591303825
0.5864887263	2.0635802746	2.8307700157
0.5865465959	2.0421099663	2.8401556015
0.5866044555	2.0498790741	2.8367569447
0.5866623291	1.9960570335	2.8603591919
0.5867201855	1.9890540838	2.8634400368
0.5867780590	2.0136098862	2.8526470661
0.5868359464	2.0145702362	2.8522255421
0.5868938006	2.0082240105	2.8550119400
0.5869516850	2.0368156433	2.8424732685
0.5870095490	2.0550038815	2.8345165253
end of first - 7mg first baffle
0.5870674281	2.0671174526	2.8292257786
