Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6308426848	13037.0058593750	2.8573505878	21644.8320312500	0.2941281195	19480.3488281250	21644.8320312500	19480.3488281250	9480.3488281250	613.5000000000	15.4528913254	19480.3488281250
0.6308542600	13043.0468750000	2.8843619823	21644.8320312500	0.2945292516	19480.3488281250	21644.8320312500	19480.3488281250	9480.3488281250	613.5000000000	15.4528913254	19480.3488281250
0.6308657446	13032.0371093750	2.8787987232	21644.8320312500	0.2941401382	19480.3488281250	21644.8320312500	19480.3488281250	9480.3488281250	613.5000000000	15.4528913254	19480.3488281250
0.6308774008	13048.3896484375	2.8729436398	21644.8320312500	0.2944835496	19480.3488281250	21644.8320312500	19480.3488281250	9480.3488281250	613.5000000000	15.4528913254	19480.3488281250
0.6308889929	13042.4443359375	2.8730659485	21644.8320312500	0.2942706278	19480.3488281250	21644.8320312500	19480.3488281250	9480.3488281250	613.5000000000	15.4528913254	19480.3488281250
0.6309005486	13040.0146484375	2.8917753696	21671.8046875000	0.2937704519	19504.6242187500	21671.8046875000	19504.6242187500	9504.6242187500	613.5000000000	15.4924600143	19504.6242187500
0.6309121472	13040.3750000000	2.9156894684	21671.8046875000	0.2936122555	19504.6242187500	21671.8046875000	19504.6242187500	9504.6242187500	613.5000000000	15.4924600143	19504.6242187500
0.6309237039	13041.7089843750	2.9209570885	21671.8046875000	0.2939529273	19504.6242187500	21671.8046875000	19504.6242187500	9504.6242187500	613.5000000000	15.4924600143	19504.6242187500
0.6309352814	13027.3691406250	2.9408953190	21671.8046875000	0.2938927303	19504.6242187500	21671.8046875000	19504.6242187500	9504.6242187500	613.5000000000	15.4924600143	19504.6242187500
0.6309468857	13040.1064453125	2.9555039406	21671.8046875000	0.2937545881	19504.6242187500	21671.8046875000	19504.6242187500	9504.6242187500	613.5000000000	15.4924600143	19504.6242187500
