Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6144958878	41.2212600708	-1.2403347492
0.6145537635	41.2007598877	-1.2401909828
0.6146116335	41.1510696411	-1.2398412228
0.6146695107	41.1347465515	-1.2397259474
0.6147273686	41.1335830688	-1.2397177219
0.6147852341	41.0940780640	-1.2394378185
0.6148431066	41.0982093811	-1.2394671440
0.6149009709	41.0704841614	-1.2392700911
0.6149588504	41.0540008545	-1.2391526699
0.6150167159	41.0107765198	-1.2388437986
0.6150745948	40.9825096130	-1.2386410236
0.6151324614	40.9226112366	-1.2382093668
0.6151903250	40.8207588196	-1.2374690771
0.6152482134	40.7772216797	-1.2371501923
0.6153060765	40.7903518677	-1.2372465134
0.6153639375	40.8131103516	-1.2374131680
0.6154218010	40.8397521973	-1.2376077175
0.6154796843	40.8739089966	-1.2378563881
0.6155375570	40.8916778564	-1.2379853725
0.6155954123	40.9145011902	-1.2381507158
0.6156532809	40.9237632751	-1.2382177114
0.6157111481	40.9426994324	-1.2383544445
0.6157690284	40.9303474426	-1.2382652760
0.6158269049	40.9103012085	-1.2381203175
0.6158847779	40.9165267944	-1.2381653786
0.6159426313	43.7580490112	-1.2559251785
0.6160005108	43.8782653809	-1.2565654516
0.6160583885	44.5745162964	-1.2601180077
0.6161162509	43.9147834778	-1.2567583323
0.6161741238	42.2897911072	-1.2474132776
0.6162319822	41.8089294434	-1.2443263531
0.6162898711	40.3247833252	-1.2337481976
0.6163477189	45.6578407288	-1.2651517391
0.6164056100	45.1594963074	-1.2629075050
0.6164634655	40.5198287964	-1.2352347374
0.6165213317	41.1250228882	-1.2396571636
0.6165792125	40.9088859558	-1.2381100655
0.6166370720	40.5610084534	-1.2355446815
0.6166949552	40.7424201965	-1.2368942499
0.6167528187	41.0850486755	-1.2393736839
0.6168107087	41.3920822144	-1.2415206432
0.6168685819	40.3178329468	-1.2336946726
0.6169264551	10.8913507462	0.3230786622
0.6169843076	3.2659447193	2.3377044201
0.6170421765	1.5647226572	3.0544309616
0.6171000490	9.1898336411	0.6436609626
0.6171579286	13.4751100540	-0.0658882335
0.6172157866	16.3174724579	-0.3874574900
