Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6714250827	3.3027997017	2.3235571384
0.6714829087	3.4324886799	2.2742092609
0.6715407835	3.4113774300	2.2821962833
0.6715986816	3.3338651657	2.3116748333
0.6716565211	3.3221395016	2.3161551952
0.6717144053	3.3523483276	2.3046236038
0.6717722783	3.2810449600	2.3319013119
0.6718301430	3.2738580704	2.3346621990
0.6718880134	3.3036746979	2.3232219219
0.6719458997	3.2930586338	2.3272910118
0.6720037488	3.7583131790	2.1531693935
0.6720616313	3.8483645916	2.1204440594
0.6721195089	3.8443114758	2.1219103336
0.6721773687	3.8873877525	2.1063590050
0.6722352301	3.8131194115	2.1332154274
0.6722931245	3.8035480976	2.1366918087
0.6723509639	3.8655843735	2.1142215729
0.6724088444	3.8451652527	2.1216013432
0.6724667213	3.9087100029	2.0986874104
0.6725245864	3.8781301975	2.1096951962
0.6725824585	3.8504498005	2.1196899414
0.6726403392	3.8762245178	2.1103823185
0.6726981969	3.8850548267	2.1071994305
0.6727560757	3.8482749462	2.1204764843
0.6728139380	3.8421912193	2.1226775646
0.6728718126	3.8589570522	2.1166150570
0.6729296922	3.9273440838	2.0919971466
0.6729875376	3.9441189766	2.0859856606
